program,title,link,upvotes,bounty,vuln_type,date
Internet Bug Bounty,use-after-free vulnerability in Flash Player,hackerone.com/reports/18843,1,0.0,Memory Corruption - Generic,2019-11-12
HackerOne,Email changing,hackerone.com/reports/18846,8,0.0,,2014-08-28
Secret,ClientId gives away platform (iOS/Android) from which a secret was posted.,hackerone.com/reports/19210,1,0.0,Information Disclosure,2014-08-01
Localize,PHP PDOException and Full Path Disclosure,hackerone.com/reports/19363,2,0.0,Information Disclosure,2015-01-18
Uzbey,IFXSS (image filename XSS) by creating a new Photo Gallery,hackerone.com/reports/19451,2,0.0,Cross-site Scripting (XSS) - Generic,2014-07-23
Uzbey,"Missing ""size check"" on files to upload could make memory leaks.",hackerone.com/reports/19532,5,0.0,Memory Corruption - Generic,2014-08-22
HackerOne,Session Hijacking attack (Different Scenario),hackerone.com/reports/19640,10,0.0,Improper Authentication - Generic,2014-07-17
RelateIQ,Cross-site Scripting in mailing (username),hackerone.com/reports/20049,2,0.0,Cross-site Scripting (XSS) - Generic,2014-12-27
X / xAI,password sent over HTTP,hackerone.com/reports/20081,1,0.0,Cryptographic Issues - Generic,2014-08-05
HackerOne,No option to logout concurrent sessions,hackerone.com/reports/20122,5,0.0,,2014-07-17
ExpressionEngine,Cross Site Scripting (Stored) ,hackerone.com/reports/20221,2,0.0,Cross-site Scripting (XSS) - Generic,2014-09-30
DigitalSellz,Verbose SQL error messages,hackerone.com/reports/20279,2,0.0,Information Disclosure,2014-08-17
DigitalSellz,"USER Account is not being deleted after user ""Delete Account"" from DASHBOARD",hackerone.com/reports/20305,3,0.0,Violation of Secure Design Principles,2014-08-17
Internet Bug Bounty,integer overflow in 'buffer' type allows reading memory,hackerone.com/reports/20671,1,0.0,,2014-06-24
Internet Bug Bounty,moderate: mod_deflate denial of service,hackerone.com/reports/20861,3,500.0,,2014-07-14
Internet Bug Bounty,rsync hash collisions may allow an attacker to corrupt or modify files,hackerone.com/reports/20873,1,0.0,Cryptographic Issues - Generic,2014-11-17
